Tipo;Descripcion;Habitaciones;Baños;Área;Barrio;UPZ;Valor
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;70;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;360000000
Casa;Casa en venta en Castilla;4;3;170;Castilla;KENNEDY: Castilla + Bavaria;670000000
Apartamento;Apartamento en venta en Chico Reservado;3;3;144;Chico Reservado;CHAPINERO: Chicó Lago + El Refugio;1120000000
Apartamento;Apartamento en venta en Usaquén;3;2;154;Usaquén;Usaquén;890000000
Apartamento;Apartamento en venta en Bella Suiza;2;3;128;Bella Suiza;USAQUÉN: Country Club + Santa Bárbara;970000000
Apartamento;Apartamento en venta en Bella Suiza;1;2;62;Bella Suiza;USAQUÉN: Country Club + Santa Bárbara;510000000
Apartamento;Apartamento en venta en Bella Suiza;1;2;62;Bella Suiza;USAQUÉN: Country Club + Santa Bárbara;500000000
Apartamento;Apartamento en venta en Bella Suiza;3;4;212;Bella Suiza;USAQUÉN: Country Club + Santa Bárbara;2350000000
Apartamento;Apartamento en venta en El Chicó;3;2;159;El Chicó;CHAPINERO: Chicó Lago + El Refugio;850000000
Apartamento;Apartamento en venta en Bella Suiza;2;2;80;Bella Suiza;USAQUÉN: Country Club + Santa Bárbara;642000000
Apartamento;Apartamento en venta en Bella Suiza;2;2;80;Bella Suiza;USAQUÉN: Country Club + Santa Bárbara;652000000
Casa;Casa en venta en Tintala;3;2;59;Tintala;Tintala;168000000
Apartamento;Apartamento en venta en Tintala;2;1;45;Tintala;Tintala;205000000
Casa;Casa en venta en Marly;3;3;147;Marly;CHAPINERO: Pardo Rubio + Chapinero;300000000
Apartamento;Apartamento en venta en Kennedy;4;3;98;Kennedy;Kennedy Central;680000000
Casa;Casa en venta en Zona Noroccidental;3;4;300;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;2519000000
Apartamento;Apartamento en venta en Nicolas De Federman;3;2;87;Nicolas De Federman;Teusaquillo;420000000
Apartamento;Apartamento en venta en La Calleja;2;2;82;La Calleja;USAQUÉN: Country Club + Santa Bárbara;620000000
Apartamento;Apartamento en venta en Zona Noroccidental;2;1;45;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;239000000
Casa;Casa en venta en Zona Noroccidental;3;6;380;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;1600000000
Apartamento;Apartamento en venta en Usaquén;1;2;50;Usaquén;Usaquén;420000000
Apartamento;Apartamento en venta en Nicolas De Federman;3;2;89;Nicolas De Federman;Teusaquillo;625000000
Casa;Casa en venta en Zona Noroccidental;3;5;365;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;2799000000
Casa;Casa en venta en Zona Noroccidental;5;5;450;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;1450000000
Casa;Casa en venta en Zona Noroccidental;4;5;315;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;2000000000
Apartamento;Apartamento en venta en Mazuren;3;3;102;Mazuren;El Prado;670000000
Casa;Casa en venta en Zona Noroccidental;4;6;423;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;1800000000
Apartamento;Apartamento en venta en Suba;3;2;75;Suba;Suba;469000000
Casa;Casa en venta en Zona Noroccidental;5;2;200;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;580000000
Apartamento;Apartamento en venta en Barrios Unidos;3;2;67;Barrios Unidos;Los Andes;445000000
Apartamento;Apartamento en venta en Usaquén;3;3;66;Usaquén;Usaquén;261500000
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;78;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;278000000
Apartamento;Apartamento en venta en Engativa;3;2;60;Engativa;Engativá;258000000
Apartamento;Apartamento en venta en Fontibón;3;3;87;Fontibón;Fontibón;520000000
Casa;Casa en venta en Tintala;3;2;75;Tintala;Tintala;200000000
Apartamento;Apartamento en venta en Zona Noroccidental;2;2;45;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;129000000
Apartamento;Apartamento en venta en Villa Alsacia;3;2;75;Villa Alsacia;KENNEDY: Castilla + Bavaria;350000000
Apartamento;Apartamento en venta en Zona Noroccidental;32;2;63;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;290500000
Apartamento;Apartamento en venta en Palermo;3;2;130;Palermo;Galerías;750000000
Apartamento;Apartamento en venta en Chico Reservado;1;1;64;Chico Reservado;CHAPINERO: Chicó Lago + El Refugio;495000000
Casa;Casa en venta en Zona Noroccidental;3;2;86;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;285000000
Apartamento;Apartamento en venta en La Candelaria;4;4;160;La Candelaria;La Candelaria;900000000
Apartamento;Apartamento en venta en Zona Noroccidental;4;4;294;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;1800000000
Apartamento;Apartamento en venta en El Contador;3;3;206;El Contador;Los Cedros;990000000
Apartamento;Apartamento en venta en El Batán;3;3;103;El Batán;La Alhambra;418000000
Apartamento;Apartamento en venta en Usaquén;2;2;80;Usaquén;Usaquén;349000000
Apartamento;Apartamento en venta en Santa Barbara;3;1;101;Santa Barbara;USAQUÉN: Country Club + Santa Bárbara;565000000
Apartamento;Apartamento en venta en Mirandela ;3;3;87;Mirandela ;SUBA: La Academia + Guaymaral + San José de Bavaria;370000000
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;78;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;259000000
Apartamento;Apartamento en venta en Castilla;3;2;68;Castilla;KENNEDY: Castilla + Bavaria;310000000
Apartamento;Apartamento en venta en Cedritos;2;2;79;Cedritos;Usaquén;354000000
Apartamento;Apartamento en venta en Mazuren;3;3;92;Mazuren;El Prado;372000000
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;88;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;500000000
Apartamento;Apartamento en venta en Fontibón;3;2;84;Fontibón;Fontibón;420000000
Apartamento;Apartamento en venta en El Contador;3;3;177;El Contador;Los Cedros;1050000000
Apartamento;Apartamento en venta en Kennedy;2;1;40;Kennedy;Kennedy Central;185000000
Apartamento;Apartamento en venta en Usaquén;2;2;80;Usaquén;Usaquén;349000000
Apartamento;Apartamento en venta en Colina Campestre;3;3;109;Colina Campestre;Niza;515000000
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;75;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;287000000
Apartamento;Apartamento en venta en Colina Campestre;2;1;50;Colina Campestre;Niza;265000000
Apartamento;Apartamento en venta en Fontibón;3;2;87;Fontibón;Fontibón;500000000
Apartamento;Apartamento en venta en Usaquén;3;3;66;Usaquén;Usaquén;261500000
Apartamento;Apartamento en venta en Hayuelos;3;2;61;Hayuelos;Modelia;300000000
Apartamento;Apartamento en venta en Zona Noroccidental;3;2;78;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;278000000
Apartamento;Apartamento en venta en Engativa;3;2;60;Engativa;Engativá;258000000
Apartamento;Apartamento en venta en Fontibón;3;3;87;Fontibón;Fontibón;520000000
Apartamento;Apartamento en venta en Villa Alsacia;3;2;75;Villa Alsacia;KENNEDY: Castilla + Bavaria;350000000
Apartamento;Apartamento en venta en Zona Noroccidental;32;2;63;Zona Noroccidental;CHAPINERO: Pardo Rubio + Chapinero;290500000
